,OverTime,Attrition,JobRole,JobLevel,StockOptionLevel
208,No,No,Healthcare Representative,Associate,Basic Level of Stock
209,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
210,No,Yes,Sales Executive,Middle-Management,No
211,No,No,Manufacturing Director,Middle-Management,No
212,No,No,Sales Executive,Associate,No
213,No,No,Research Director,Middle-Management,Medium Level of Stock
214,Yes,Yes,Research Scientist,Entry,No
215,Yes,No,Manager,Middle-Management,No
216,No,Yes,Sales Executive,Associate,No
217,No,Yes,Research Scientist,Entry,No
218,No,No,Sales Executive,Middle-Management,No
219,No,No,Sales Executive,Associate,Basic Level of Stock
220,No,No,Laboratory Technician,Associate,No
221,No,No,Research Scientist,Entry,No
222,Yes,No,Research Director,Middle-Management,High Level of Stock
223,No,No,Sales Executive,Middle-Management,Medium Level of Stock
224,No,No,Manufacturing Director,Associate,Basic Level of Stock
225,No,No,Research Scientist,Entry,Basic Level of Stock
226,No,No,Sales Representative,Entry,Basic Level of Stock
227,No,No,Sales Executive,Middle-Management,Basic Level of Stock
228,No,No,Sales Executive,Middle-Management,No
229,Yes,Yes,Research Scientist,Entry,No
230,No,No,Laboratory Technician,Entry,No
231,No,No,Manager,C-Level,No
232,No,No,Human Resources,Entry,No
233,No,No,Manager,C-Level,Basic Level of Stock
234,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
235,Yes,No,Manager,Head,Basic Level of Stock
236,No,Yes,Laboratory Technician,Entry,No
237,Yes,No,Manager,C-Level,No
238,No,No,Sales Representative,Entry,Basic Level of Stock
239,Yes,Yes,Laboratory Technician,Entry,No
240,No,No,Laboratory Technician,Entry,High Level of Stock
241,No,No,Sales Executive,Associate,No
242,No,No,Research Scientist,Associate,Medium Level of Stock
243,No,No,Research Scientist,Associate,Medium Level of Stock
244,No,No,Manager,C-Level,Basic Level of Stock
245,No,No,Research Director,Middle-Management,Basic Level of Stock
246,No,No,Research Scientist,Entry,Basic Level of Stock
247,No,No,Manufacturing Director,Associate,Basic Level of Stock
248,No,No,Research Scientist,Entry,Basic Level of Stock
249,No,No,Manufacturing Director,Associate,Basic Level of Stock
250,No,Yes,Manufacturing Director,Middle-Management,Medium Level of Stock
251,No,No,Healthcare Representative,Middle-Management,No
252,No,No,Research Scientist,Entry,No
253,Yes,No,Research Scientist,Associate,No
254,No,No,Sales Executive,Associate,Basic Level of Stock
255,No,No,Manufacturing Director,Associate,Medium Level of Stock
256,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
257,No,No,Research Director,C-Level,Basic Level of Stock
258,No,No,Research Scientist,Entry,No
259,No,Yes,Laboratory Technician,Entry,No
260,No,No,Laboratory Technician,Entry,No
261,No,No,Sales Executive,Associate,Basic Level of Stock
262,No,No,Laboratory Technician,Associate,No
263,Yes,No,Manager,Head,Basic Level of Stock
264,No,Yes,Laboratory Technician,Entry,No
265,No,No,Sales Executive,Associate,Medium Level of Stock
266,No,No,Healthcare Representative,Associate,Basic Level of Stock
267,No,No,Healthcare Representative,Associate,Medium Level of Stock
268,Yes,No,Healthcare Representative,Head,No
269,No,No,Laboratory Technician,Entry,Basic Level of Stock
270,Yes,No,Manager,C-Level,No
271,Yes,Yes,Manager,Middle-Management,Basic Level of Stock
272,No,No,Research Scientist,Entry,Basic Level of Stock
273,No,No,Sales Executive,Associate,Basic Level of Stock
274,No,No,Research Scientist,Entry,No
275,Yes,No,Research Director,Middle-Management,Medium Level of Stock
276,No,No,Manager,Middle-Management,Basic Level of Stock
277,Yes,No,Sales Executive,Associate,Basic Level of Stock
278,No,No,Manufacturing Director,Associate,Basic Level of Stock
279,No,No,Research Director,C-Level,Medium Level of Stock
280,Yes,No,Research Director,Head,High Level of Stock
281,No,No,Sales Executive,Associate,No
282,No,No,Sales Executive,Associate,No
283,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
284,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
285,No,No,Research Scientist,Entry,No
286,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
287,No,No,Healthcare Representative,Associate,Basic Level of Stock
288,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
289,No,No,Research Scientist,Entry,No
290,Yes,No,Research Director,C-Level,No
291,No,No,Research Scientist,Associate,No
292,No,No,Sales Representative,Entry,Basic Level of Stock
293,Yes,Yes,Sales Executive,Associate,No
294,Yes,No,Research Scientist,Entry,High Level of Stock
295,No,No,Sales Executive,Head,Basic Level of Stock
296,No,Yes,Laboratory Technician,Entry,No
297,No,No,Sales Executive,Middle-Management,Medium Level of Stock
298,No,No,Laboratory Technician,Entry,Medium Level of Stock
299,No,No,Manufacturing Director,Associate,Basic Level of Stock
300,No,No,Manager,Head,No
301,No,No,Sales Representative,Entry,No
302,No,No,Healthcare Representative,Associate,No
303,No,No,Sales Executive,Associate,Basic Level of Stock
304,No,No,Healthcare Representative,Middle-Management,High Level of Stock
305,No,No,Laboratory Technician,Associate,Basic Level of Stock
306,No,No,Sales Executive,Associate,Basic Level of Stock
307,No,No,Research Director,Middle-Management,Basic Level of Stock
308,Yes,No,Healthcare Representative,Associate,Basic Level of Stock
309,Yes,No,Research Scientist,Entry,Basic Level of Stock
310,No,No,Human Resources,Associate,No
311,No,No,Laboratory Technician,Middle-Management,Basic Level of Stock
312,Yes,No,Research Scientist,Entry,Basic Level of Stock
313,No,No,Manager,Middle-Management,Medium Level of Stock
314,Yes,No,Manager,Head,No
315,No,No,Laboratory Technician,Entry,No
316,Yes,No,Healthcare Representative,Head,No
317,No,Yes,Research Scientist,Associate,No
318,Yes,No,Research Scientist,Entry,No
319,Yes,No,Sales Executive,Associate,No
320,Yes,No,Sales Executive,Associate,No
321,No,No,Sales Executive,Associate,High Level of Stock
322,No,No,Research Scientist,Associate,No
323,Yes,Yes,Research Scientist,Entry,No
324,No,No,Research Scientist,Associate,Medium Level of Stock
325,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
326,No,No,Manager,C-Level,Basic Level of Stock
327,Yes,Yes,Sales Executive,Associate,No
328,No,No,Sales Executive,Associate,No
329,No,No,Research Director,C-Level,Basic Level of Stock
330,No,No,Laboratory Technician,Associate,Basic Level of Stock
331,Yes,No,Sales Executive,Associate,Basic Level of Stock
332,No,No,Research Scientist,Associate,No
333,No,No,Healthcare Representative,Middle-Management,Basic Level of Stock
334,No,No,Research Scientist,Associate,Medium Level of Stock
335,Yes,No,Sales Executive,Associate,High Level of Stock
336,Yes,Yes,Laboratory Technician,Entry,No
337,No,No,Laboratory Technician,Entry,No
338,No,No,Sales Executive,Associate,High Level of Stock
339,No,No,Sales Executive,Associate,Basic Level of Stock
340,No,No,Manufacturing Director,Associate,Medium Level of Stock
341,Yes,No,Research Director,Middle-Management,Basic Level of Stock
342,Yes,No,Manufacturing Director,Middle-Management,No
343,Yes,No,Sales Executive,Associate,Medium Level of Stock
344,No,No,Manufacturing Director,Middle-Management,No
345,No,No,Research Scientist,Entry,Medium Level of Stock
346,Yes,No,Manufacturing Director,Associate,No
347,No,No,Sales Representative,Associate,No
348,No,No,Research Director,Head,No
349,No,No,Sales Executive,Associate,Basic Level of Stock
350,Yes,No,Human Resources,Entry,Basic Level of Stock
351,No,No,Laboratory Technician,Entry,Basic Level of Stock
352,No,No,Manager,Middle-Management,Basic Level of Stock
353,Yes,No,Research Scientist,Associate,Medium Level of Stock
354,Yes,No,Sales Executive,Associate,Basic Level of Stock
355,No,No,Sales Executive,Associate,Basic Level of Stock
356,No,No,Healthcare Representative,Associate,No
357,Yes,Yes,Sales Representative,Entry,No
358,No,No,Sales Executive,Associate,No
359,No,No,Sales Executive,Middle-Management,Basic Level of Stock
360,No,No,Healthcare Representative,Associate,No
361,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
362,No,No,Sales Representative,Entry,No
363,Yes,Yes,Sales Representative,Entry,No
364,No,No,Laboratory Technician,Entry,Basic Level of Stock
365,No,No,Manufacturing Director,Associate,No
366,No,Yes,Sales Executive,Associate,No
367,No,No,Healthcare Representative,Middle-Management,No
368,Yes,Yes,Sales Executive,Associate,Medium Level of Stock
369,Yes,No,Research Scientist,Entry,No
370,No,Yes,Sales Representative,Entry,No
371,No,No,Research Scientist,Entry,No
372,No,No,Healthcare Representative,Associate,No
373,No,No,Laboratory Technician,Entry,Basic Level of Stock
374,No,No,Sales Executive,Associate,No
375,No,No,Healthcare Representative,Middle-Management,No
376,No,No,Sales Executive,Associate,Basic Level of Stock
377,No,No,Research Scientist,Entry,Basic Level of Stock
378,Yes,Yes,Sales Executive,Associate,No
379,Yes,No,Manager,Head,No
380,Yes,No,Sales Executive,Associate,Basic Level of Stock
381,No,No,Sales Representative,Entry,Basic Level of Stock
382,No,Yes,Research Scientist,Entry,No
383,No,No,Research Scientist,Entry,Basic Level of Stock
384,No,No,Sales Executive,Middle-Management,Medium Level of Stock
385,Yes,Yes,Research Scientist,Entry,No
386,No,No,Laboratory Technician,Entry,Basic Level of Stock
387,No,No,Sales Executive,Associate,Medium Level of Stock
388,No,No,Laboratory Technician,Entry,Basic Level of Stock
389,Yes,No,Manufacturing Director,Associate,No
390,No,No,Research Director,Head,Basic Level of Stock
391,No,No,Laboratory Technician,Associate,Basic Level of Stock
392,No,No,Research Director,C-Level,Basic Level of Stock
393,No,No,Sales Executive,Associate,Basic Level of Stock
394,No,No,Manufacturing Director,Associate,Basic Level of Stock
395,No,No,Laboratory Technician,Entry,Basic Level of Stock
396,Yes,No,Healthcare Representative,Associate,No
397,Yes,No,Sales Executive,Associate,No
398,Yes,No,Research Scientist,Associate,Medium Level of Stock
399,No,No,Laboratory Technician,Entry,Basic Level of Stock
400,Yes,No,Manager,C-Level,Basic Level of Stock
401,No,No,Sales Executive,Head,High Level of Stock
402,No,No,Sales Executive,Associate,No
403,No,No,Sales Executive,Middle-Management,Basic Level of Stock
404,No,No,Laboratory Technician,Associate,Basic Level of Stock
405,No,Yes,Laboratory Technician,Entry,Basic Level of Stock
406,Yes,No,Manufacturing Director,Middle-Management,No
407,No,No,Research Scientist,Entry,Medium Level of Stock
408,No,No,Manager,Head,No
409,No,No,Research Scientist,Associate,Basic Level of Stock
410,No,No,Manufacturing Director,Associate,No
411,No,No,Manager,C-Level,No
412,No,No,Manufacturing Director,Associate,Basic Level of Stock
413,No,No,Healthcare Representative,Associate,High Level of Stock
414,Yes,Yes,Sales Representative,Entry,No
415,No,Yes,Sales Representative,Entry,Basic Level of Stock
416,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
417,No,No,Manager,C-Level,No
418,No,No,Research Scientist,Entry,Medium Level of Stock
419,No,No,Laboratory Technician,Entry,Basic Level of Stock
420,No,No,Research Director,Middle-Management,No
421,No,Yes,Research Scientist,Entry,No
422,No,Yes,Human Resources,Entry,No
423,No,No,Sales Executive,Middle-Management,No
424,No,No,Manager,Head,Basic Level of Stock
425,No,No,Manager,Head,Basic Level of Stock
426,No,No,Laboratory Technician,Entry,No
427,No,No,Sales Executive,Middle-Management,No
428,No,No,Manufacturing Director,Associate,High Level of Stock
429,No,No,Research Director,Head,No
430,No,No,Laboratory Technician,Entry,No
431,No,No,Laboratory Technician,Associate,No
432,No,No,Research Scientist,Entry,Basic Level of Stock
433,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
434,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
435,Yes,Yes,Manager,Middle-Management,No
436,No,Yes,Laboratory Technician,Entry,High Level of Stock
437,No,No,Sales Representative,Entry,No
438,Yes,No,Healthcare Representative,Middle-Management,No
439,No,Yes,Healthcare Representative,Middle-Management,No
440,Yes,Yes,Human Resources,Middle-Management,High Level of Stock
441,No,No,Laboratory Technician,Entry,Basic Level of Stock
442,No,No,Sales Executive,Middle-Management,No
443,No,Yes,Laboratory Technician,Entry,No
444,No,No,Sales Executive,Associate,Basic Level of Stock
445,No,No,Manager,Head,No
446,No,No,Sales Executive,Associate,No
447,No,No,Sales Executive,Associate,No
448,No,No,Manufacturing Director,Head,No
449,No,No,Laboratory Technician,Entry,Basic Level of Stock
450,Yes,No,Sales Executive,Associate,No
451,Yes,No,Manufacturing Director,Middle-Management,Basic Level of Stock
452,No,No,Sales Executive,Associate,Basic Level of Stock
453,Yes,Yes,Human Resources,Entry,Basic Level of Stock
454,No,No,Manufacturing Director,Associate,Medium Level of Stock
455,No,No,Research Director,Head,Basic Level of Stock
456,No,No,Manager,Middle-Management,Basic Level of Stock
457,Yes,Yes,Sales Representative,Entry,No
458,No,No,Sales Executive,Middle-Management,Basic Level of Stock
459,Yes,No,Healthcare Representative,Associate,No
460,No,No,Sales Executive,Associate,Medium Level of Stock
461,No,No,Sales Executive,Associate,No
462,No,No,Sales Executive,Associate,No
463,Yes,Yes,Laboratory Technician,Entry,No
464,No,No,Manufacturing Director,Middle-Management,No
465,No,No,Healthcare Representative,Middle-Management,No
466,No,No,Manager,Head,Basic Level of Stock
467,No,No,Sales Executive,Middle-Management,Basic Level of Stock
468,Yes,No,Research Scientist,Associate,Medium Level of Stock
469,No,Yes,Sales Executive,Associate,No
470,No,No,Sales Representative,Entry,Medium Level of Stock
471,No,No,Healthcare Representative,Associate,Basic Level of Stock
472,No,No,Manufacturing Director,Associate,Basic Level of Stock
473,Yes,No,Research Director,C-Level,Basic Level of Stock
474,Yes,No,Research Scientist,Entry,Medium Level of Stock
475,No,No,Sales Executive,Associate,Medium Level of Stock
476,No,No,Laboratory Technician,Entry,Basic Level of Stock
477,No,No,Manager,C-Level,Basic Level of Stock
478,No,No,Sales Representative,Entry,No
479,Yes,Yes,Laboratory Technician,Entry,Basic Level of Stock
480,No,Yes,Sales Representative,Entry,Basic Level of Stock
481,Yes,No,Research Scientist,Entry,Basic Level of Stock
482,No,Yes,Sales Executive,Associate,No
483,No,No,Laboratory Technician,Associate,No
484,No,No,Sales Executive,Associate,Medium Level of Stock
485,No,No,Research Scientist,Entry,Medium Level of Stock
486,Yes,No,Sales Executive,Associate,Basic Level of Stock
487,No,No,Research Scientist,Entry,No
488,No,No,Healthcare Representative,Associate,Medium Level of Stock
489,Yes,No,Research Director,Head,Basic Level of Stock
490,No,No,Research Scientist,Entry,No
491,Yes,No,Laboratory Technician,Associate,Basic Level of Stock
492,No,No,Manager,Head,Basic Level of Stock
493,No,No,Human Resources,Associate,No
494,Yes,No,Sales Representative,Entry,Medium Level of Stock
495,No,Yes,Sales Representative,Entry,Basic Level of Stock
496,No,No,Sales Representative,Entry,No
497,Yes,No,Manager,C-Level,Basic Level of Stock
498,No,No,Research Scientist,Entry,No
499,No,No,Sales Executive,Associate,No
500,Yes,No,Research Scientist,Associate,Basic Level of Stock
501,No,No,Research Scientist,Entry,Basic Level of Stock
502,No,No,Sales Executive,Associate,No
503,No,No,Research Scientist,Entry,Basic Level of Stock
504,No,Yes,Sales Executive,Associate,Medium Level of Stock
505,Yes,No,Laboratory Technician,Entry,Basic Level of Stock
506,No,No,Manufacturing Director,Middle-Management,Basic Level of Stock
507,No,No,Sales Executive,Associate,Basic Level of Stock
508,No,No,Research Scientist,Associate,No
509,No,No,Healthcare Representative,Associate,Basic Level of Stock
510,No,No,Human Resources,Middle-Management,Basic Level of Stock
511,Yes,No,Manufacturing Director,Associate,Basic Level of Stock
512,No,No,Research Scientist,Entry,No
513,Yes,Yes,Research Scientist,Entry,No
514,Yes,Yes,Research Scientist,Entry,No
515,No,No,Laboratory Technician,Entry,Medium Level of Stock
516,No,No,Research Scientist,Entry,Basic Level of Stock
517,No,No,Sales Executive,Associate,Basic Level of Stock
518,No,No,Sales Executive,Associate,No
519,No,No,Research Scientist,Entry,Basic Level of Stock
520,No,No,Sales Executive,Associate,No
521,Yes,No,Sales Executive,Associate,Medium Level of Stock
522,No,No,Research Scientist,Entry,No
523,Yes,No,Laboratory Technician,Entry,High Level of Stock
524,No,No,Healthcare Representative,Middle-Management,No
525,No,Yes,Sales Executive,Associate,No
526,No,No,Healthcare Representative,Associate,No
527,No,No,Sales Executive,Associate,No
528,Yes,Yes,Sales Executive,Associate,Basic Level of Stock
529,No,No,Healthcare Representative,Associate,No
530,No,No,Manufacturing Director,Middle-Management,No
531,No,No,Research Director,Middle-Management,No
532,No,No,Sales Executive,Associate,No
533,Yes,No,Sales Executive,Middle-Management,Basic Level of Stock
534,No,No,Research Director,Head,No
535,No,No,Manager,C-Level,High Level of Stock
536,No,No,Sales Executive,Associate,No
537,No,No,Manufacturing Director,Middle-Management,Medium Level of Stock
538,No,No,Manager,C-Level,Basic Level of Stock
539,No,No,Sales Representative,Entry,Basic Level of Stock
540,Yes,Yes,Research Scientist,Entry,No
541,No,No,Research Director,Middle-Management,Basic Level of Stock
542,Yes,No,Manufacturing Director,Middle-Management,No
543,No,No,Laboratory Technician,Entry,No
544,Yes,No,Sales Executive,Head,Medium Level of Stock
545,No,No,Sales Executive,Associate,Basic Level of Stock
546,No,No,Sales Representative,Entry,No
547,Yes,Yes,Research Scientist,Entry,No
548,No,No,Sales Executive,Associate,Basic Level of Stock
549,No,No,Healthcare Representative,Associate,No
550,No,No,Laboratory Technician,Entry,Basic Level of Stock
551,No,No,Human Resources,Associate,Basic Level of Stock
552,No,No,Healthcare Representative,Head,No
553,Yes,No,Research Scientist,Entry,No
554,No,No,Healthcare Representative,Associate,No
555,No,No,Sales Representative,Entry,Medium Level of Stock
556,No,No,Laboratory Technician,Associate,No
557,No,No,Healthcare Representative,Associate,Basic Level of Stock
